Time(s),Blinks,Blink Rate
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,77
0,1,75
0,1,74
0,1,68
0,1,67
0,1,64
0,1,63
0,2,120
1,2,119
1,2,114
1,2,110
1,2,106
1,2,105
1,3,152
1,3,150
1,3,143
1,3,140
1,3,134
1,3,134
1,3,129
1,3,127
1,3,123
1,3,121
1,3,118
1,3,117
1,3,113
1,3,112
1,4,144
1,4,143
1,4,139
1,4,136
1,4,134
1,4,133
1,4,129
1,5,160
1,5,156
1,5,155
1,5,150
2,5,148
2,5,146
2,5,144
2,5,141
2,5,139
2,5,137
2,6,163
2,6,159
2,6,158
2,6,155
2,6,154
2,6,149
2,6,148
2,6,148
2,6,145
2,6,142
2,6,142
2,6,138
2,6,137
2,6,135
2,6,135
2,6,132
2,6,131
2,6,128
2,7,148
2,7,148
2,7,147
2,7,143
2,7,143
2,7,140
2,7,140
3,7,137
3,7,137
3,7,134
3,7,132
3,7,131
3,7,131
3,7,130
3,7,128
3,7,126
3,7,125
3,7,123
3,7,123
3,7,121
3,7,121
3,7,118
3,7,118
3,7,118
3,7,116
3,7,116
3,7,114
3,7,112
3,7,112
3,7,110
3,7,110
3,7,108
3,7,108
3,7,107
3,7,106
3,7,106
3,7,105
4,7,104
4,7,103
4,8,116
4,8,116
4,8,114
4,8,114
4,8,112
4,8,112
4,8,111
4,8,110
4,8,110
4,9,122
4,9,122
4,9,120
4,9,119
4,9,119
4,9,117
4,9,117
4,9,115
4,9,115
4,9,114
4,9,114
4,9,113
4,9,112
4,9,112
4,9,111
4,9,109
4,9,109
5,9,107
5,9,107
5,9,106
5,9,106
5,9,106
5,9,105
5,9,104
5,9,103
5,9,103
5,9,102
5,9,101
5,9,101
5,9,100
5,9,99
5,9,99
5,9,98
5,9,98
5,9,97
5,9,97
5,9,96
5,9,96
5,9,95
5,9,94
5,9,94
5,9,92
5,9,92
5,9,92
5,9,92
5,9,91
5,9,91
5,9,90
5,9,90
6,9,89
6,9,89
6,9,87
6,9,87
6,9,87
6,9,87
6,9,86
6,9,86
6,9,86
6,9,85
6,9,85
6,9,84
6,9,84
6,9,83
6,9,82
6,9,82
6,9,82
6,9,81
